CITY,DISTRICT,TRANSFORMER,YXRL,CLOSEST_STATION,DELETE,TRANSFORMER_ID
4,1,15,500,59254099999,,4-1-15
4,1,16,500,59254099999,,4-1-16
4,1,17,500,59254099999,,4-1-17
4,1,18,630,59254099999,,4-1-18
4,1,19,630,59254099999,,4-1-19
4,1,20,800,59254099999,,4-1-20
4,1,21,500,59254099999,,4-1-21
4,1,22,630,59254099999,,4-1-22
4,1,23,800,59254099999,,4-1-23
4,2,0,630,59254099999,,4-2-0
4,2,1,630,59254099999,,4-2-1
4,2,2,630,59254099999,,4-2-2
4,2,3,630,59254099999,,4-2-3
4,2,4,800,59254099999,,4-2-4
4,2,5,630,59254099999,,4-2-5
4,2,6,630,59254099999,,4-2-6
4,2,7,630,59254099999,,4-2-7
4,2,8,800,59254099999,,4-2-8
4,2,9,630,59254099999,,4-2-9
4,2,10,630,59254099999,,4-2-10
4,2,11,630,59254099999,,4-2-11
5,0,0,630,59431099999,,5-0-0
5,0,1,630,59431099999,,5-0-1
5,0,2,500,59431099999,,5-0-2
5,0,3,630,59431099999,,5-0-3
5,0,4,630,59431099999,,5-0-4
5,0,5,630,59431099999,,5-0-5
5,0,6,630,59431099999,,5-0-6
5,0,7,630,59431099999,,5-0-7
5,0,8,500,59431099999,,5-0-8
5,0,9,500,59431099999,,5-0-9
5,0,10,1260,59431099999,,5-0-10
5,0,11,800,59431099999,,5-0-11
5,0,12,630,59431099999,,5-0-12
5,0,13,3660,59431099999,,5-0-13
5,0,14,630,59431099999,,5-0-14
5,0,15,800,59431099999,,5-0-15
5,0,16,800,59431099999,1.0,5-0-16
5,0,17,630,59431099999,,5-0-17
5,0,18,1260,59431099999,,5-0-18
5,0,19,800,59431099999,1.0,5-0-19
5,0,20,3660,59431099999,,5-0-20
5,0,21,500,59431099999,,5-0-21
5,0,22,4630,59431099999,,5-0-22
5,0,23,2520,59431099999,,5-0-23
5,0,24,800,59431099999,1.0,5-0-24
5,0,25,800,59431099999,,5-0-25
5,0,26,2860,59431099999,,5-0-26
5,0,27,630,59431099999,,5-0-27
5,0,28,630,59431099999,,5-0-28
5,0,29,630,59431099999,,5-0-29
5,0,30,630,59431099999,,5-0-30
5,0,31,800,59431099999,,5-0-31
5,0,32,800,59431099999,,5-0-32
5,0,33,800,59431099999,,5-0-33
5,0,34,800,59431099999,,5-0-34
5,0,35,630,59431099999,,5-0-35
5,0,36,800,59431099999,,5-0-36
5,0,37,4630,59431099999,,5-0-37
